,product_id,title,link,onlineRegular,onlineDiscount,prices_shop,brand
178,433965,"Кофе Nescafe Gold растворимый, 190г",/products/nescafe-gold-190g,699,599,"[(499, 'от 1 шт')]","('NESCAF',)"
179,241735,"Кофе Coffesso Crema зерновой, 1кг",/products/1kg-kofe-coffesso-crema-zerno,1239,1039,"[(999, 'от 1 шт')]","('COFFESSO',)"
180,133725,"Напиток кофейный Nescafe Strong 3в1 20 пакетиков, 290г",/products/20x145g-kofejnyj-napitok-nescafe-3v1-krepkij,309,249,"[(259, 'от 1 шт'), (214, 'от 10 шт')]","('NESCAF',)"
181,229954,"Кофе Nescafe Classic растворимый порошкообразный с добавлением натурального жареного молотого кофе, 750г",/products/750g-kofe-nescafe-classic-rastvorimyy,1709,1049,"[(1049, 'от 1 шт')]","('NESCAF',)"
182,227302,"Кофе Черная Карта молотый для турки, 250г",/products/250-kofe-chernaya-karta-molotyy-dlya-turki,237,199,"[(195, 'от 1 шт')]","('ЧЕРНАЯКАРТА',)"
183,226466,"Кофе Alta Roma Caffe Latte в зернах, 1кг",/products/kofe-alta-roma-caffe-latte-v-zernakh-1kg,1059,989,"[(949, 'от 1 шт')]","('ALTAROMA',)"
184,241741,"Кофе Coffesso Colombia Tinto молотый (10г x 5шт), 50г",/products/5shth10g-kofe-coffesso-colombia-tinto-molotyy-drip-paket,213,199,"[(189, 'от 1 шт')]","('COFFESSO',)"
185,238899,"Кофе Jardin Mocaccino 3в1 (18г x 8шт), 144г",/products/8shth18g-kofe-jardin-mokachino-3v1,289,199,"[(199, 'от 1 шт')]","('JARDIN',)"
186,107074,"Кофе Carraro Primo Mattino в зернах, 1кг",/products/v-zernah-carraro-primo-mattino-1-kg,1789,1599,"[(1599, 'от 1 шт')]","('CARRARO',)"
187,505974,"Кофе Черная Карта в зернах, 1кг",/products/chernaya-karta-paketirovannyj-1kg,1049,949,"[(899, 'от 1 шт')]","('ЧЕРНАЯКАРТА',)"
188,226335,"Кофе в капсулах Carte Noire Lungo Profond для кофемашин Nespresso 10шт, 52г",/products/10shth52g-kofe-carte-noire-lungo-profond-v-kapsulah,449,379,"[(349, 'от 1 шт')]","('CARTENOIRE',)"
189,533474,"Кофе Jardin Espresso di Milano натуральный молотый жареный, 250г",/products/jardin-naturalnyj-zharenyj-espresso-di-milano-250g,469,429,"[(429, 'от 1 шт')]","('JARDIN',)"
190,119135,"Кофе в капсулах Jardin Allonge Smooth&Silky для кофемашин Nespresso 10шт, 50г",/products/10h5g-jardin-allonge,399,279,"[(279, 'от 1 шт')]","('JARDIN',)"
191,101496,"Кофе Jardin Dessert Capuccino в зернах, 1кг",/products/jardin-dessert-capuccino-1000g,1689,1249,"[(1199, 'от 1 шт')]","('JARDIN',)"
192,629006,"Кофе Kimbo Espresso в зернах, 1кг",/products/kimbo-espresso-v-zernah-1-kg,1999,1899,"[(1749, 'от 1 шт')]","('KIMBO',)"
193,407891,"Кофе Egoiste Special растворимый сублимированный с молотым, 100г",/products/egoiste-sublimirovannnyj-s-molotym-special-100g,899,799,"[(729, 'от 1 шт')]","('EGOISTE',)"
